CNX,CONSOL ENERGY INC,NYSE,3494601956
AET,AETNA INC,NYSE,39735468000
AMG,AFFILIATED MANAGERS GROUP,NYSE,11423602644
RSG,REPUBLIC SERVICES INC,NYSE,14846407670
EBAY,EBAY INC,NASDAQ,34512401818
GS,GOLDMAN SACHS GROUP INC,NYSE,92453962656
SRE,SEMPRA ENERGY,NYSE,25438854453
MCO,MOODY'S CORP,NYSE,22157186000
PCLN,PRICELINE GROUP INC/THE,NASDAQ,64302567005
FFIV,F5 NETWORKS INC,NASDAQ,9315738445
AKAM,AKAMAI TECHNOLOGIES INC,NASDAQ,13525824934
